step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
159,CASH_OUT,176732.38,C2013481049,21597.0,0.0,C810221553,1954154.98,2130887.36,0,0
163,CASH_IN,164468.04,C921033633,31985.0,196453.04,C662688587,2247943.13,2275466.9,0,0
181,CASH_OUT,266632.92,C1793381783,10945.0,0.0,C1377718929,694128.56,960761.48,0,0
9,CASH_OUT,467041.36,C1031240079,1513751.38,1046710.02,C904672772,1699497.18,1834950.83,0,0
331,CASH_OUT,253412.03,C1487033853,0.0,0.0,C949178727,673031.91,926443.94,0,0
551,CASH_OUT,483713.23,C1680914096,483713.23,0.0,C1986090456,11048671.02,11532384.25,1,0
117,TRANSFER,16671.29,C1319377475,16671.29,0.0,C1414915255,0.0,0.0,1,0
15,PAYMENT,5086.47,C103792023,123683.68,118597.21,M2064884925,0.0,0.0,0,0
373,PAYMENT,18103.13,C418429370,0.0,0.0,M519993428,0.0,0.0,0,0
252,CASH_OUT,286186.86,C1476102582,31198.0,0.0,C941692118,0.0,286186.86,0,0
348,CASH_IN,35752.25,C1417752313,17456889.5,17492641.75,C802498348,1517474.74,1481722.49,0,0
378,CASH_OUT,186036.65,C816052378,10125.0,0.0,C1003839350,1629834.08,1815870.74,0,0
229,PAYMENT,11727.0,C2014176459,281848.39,270121.39,M288191787,0.0,0.0,0,0
154,CASH_OUT,9295.81,C1200170966,31235.0,21939.19,C1050127834,322911.41,332207.22,0,0
203,TRANSFER,608531.81,C826911241,0.0,0.0,C719574233,27313650.2,27922182.01,0,0
590,CASH_IN,175692.53,C2031980437,11443.0,187135.53,C912791306,280135.49,104442.96,0,0
416,TRANSFER,3019699.77,C271621902,3019699.77,0.0,C1299567752,0.0,0.0,1,0
301,CASH_OUT,104457.85,C648568197,0.0,0.0,C1894448321,200151.14,304608.99,0,0
305,CASH_IN,220141.85,C1219983549,1788085.94,2008227.79,C467042735,2248544.62,2028402.77,0,0
45,PAYMENT,23879.17,C959057410,5113.0,0.0,M1650102134,0.0,0.0,0,0
329,CASH_OUT,30839.79,C1512381758,27349.49,0.0,C397837499,0.0,30839.79,0,0
695,TRANSFER,286835.21,C1993331914,286835.21,0.0,C653164829,0.0,0.0,1,0
393,PAYMENT,3978.64,C96441234,375085.47,371106.83,M988835710,0.0,0.0,0,0
211,PAYMENT,3544.82,C1002547744,0.0,0.0,M223360930,0.0,0.0,0,0
211,CASH_OUT,226303.91,C957360253,0.0,0.0,C1647424861,1067944.75,1294248.66,0,0
14,TRANSFER,65488.05,C236875489,65488.05,0.0,C528705657,0.0,0.0,1,0
370,CASH_IN,117025.23,C1807396806,13456512.37,13573537.6,C252127388,3220435.64,3103410.4,0,0
188,CASH_IN,245814.66,C1906500124,850748.37,1096563.03,C1668788838,474740.71,228926.05,0,0
8,CASH_OUT,67862.64,C1344791399,22008.0,0.0,C704024200,0.0,26577.75,0,0
14,CASH_OUT,68521.0,C569483360,0.0,0.0,C226159989,203388.3,355667.04,0,0
16,CASH_OUT,235317.45,C2143635163,415772.74,180455.29,C984677901,1713352.91,1948670.36,0,0
324,PAYMENT,14563.52,C229579923,0.0,0.0,M1873250025,0.0,0.0,0,0
274,CASH_IN,187142.78,C909575095,2453030.28,2640173.06,C2070308487,724677.28,537534.5,0,0
284,TRANSFER,800115.05,C669992732,800115.05,0.0,C1306515045,0.0,0.0,1,0
381,PAYMENT,33764.65,C1964872551,6932.21,0.0,M593856604,0.0,0.0,0,0
184,CASH_IN,114866.8,C1785011798,1747372.17,1862238.98,C1136113829,174345.02,59478.22,0,0
8,TRANSFER,1386024.47,C474384831,20470.0,0.0,C108034745,0.0,1087434.0,0,0
608,CASH_OUT,780687.45,C112638782,780687.45,0.0,C221378791,564595.45,1345282.89,1,0
252,CASH_OUT,31509.83,C1613228076,51635.0,20125.17,C2050658783,3030055.92,3061565.76,0,0
167,PAYMENT,1068.55,C534758383,1309.0,240.45,M1643980357,0.0,0.0,0,0
322,CASH_IN,84440.53,C978213978,31419.0,115859.53,C1304645545,272577.46,188136.92,0,0
373,PAYMENT,11900.58,C2040097166,50509.0,38608.42,M712454412,0.0,0.0,0,0
165,PAYMENT,1757.15,C69038792,0.0,0.0,M1425413294,0.0,0.0,0,0
380,CASH_IN,319658.7,C1342230795,2546444.54,2866103.24,C215577375,2807920.78,2488262.08,0,0
240,CASH_OUT,723782.37,C1529205180,723782.37,0.0,C1010068445,0.0,723782.37,1,0
41,PAYMENT,10754.45,C682143869,33217.41,22462.96,M1648013121,0.0,0.0,0,0
325,CASH_OUT,498611.34,C976446949,1616.0,0.0,C1208115612,0.0,498611.34,0,0
307,PAYMENT,9293.32,C1200954778,39273.0,29979.68,M195681079,0.0,0.0,0,0
398,CASH_OUT,425385.25,C296095659,0.0,0.0,C729261305,8556771.97,8982157.22,0,0
307,PAYMENT,21184.56,C278029056,0.0,0.0,M935327188,0.0,0.0,0,0
257,CASH_IN,164762.41,C1076490675,734006.9,898769.32,C869755614,1096937.0,932174.58,0,0
403,CASH_OUT,65572.04,C1666398867,0.0,0.0,C912635246,597731.19,663303.22,0,0
351,PAYMENT,14366.97,C1205201652,60435.04,46068.07,M646651707,0.0,0.0,0,0
335,PAYMENT,5666.06,C777145000,0.0,0.0,M433725577,0.0,0.0,0,0
230,CASH_IN,335785.49,C1824170983,2692607.82,3028393.31,C1757486930,12285351.46,11949565.97,0,0
13,PAYMENT,14988.54,C386606297,0.0,0.0,M1868200532,0.0,0.0,0,0
186,CASH_IN,31634.41,C697174864,1358705.08,1390339.49,C267785668,106979.12,75344.7,0,0
44,TRANSFER,210005.72,C1145995511,31928.0,0.0,C635470422,125249.96,335255.68,0,0
212,CASH_OUT,201164.19,C668460111,0.0,0.0,C1751862597,351232.69,552396.87,0,0
135,CASH_OUT,68367.49,C763288293,0.0,0.0,C693235843,237278.26,305645.75,0,0
138,CASH_OUT,38730.18,C1916749985,0.0,0.0,C1864662052,1349537.27,1388267.45,0,0
255,CASH_IN,7544.64,C1668036510,9559287.84,9566832.48,C1631474185,155702.61,148157.97,0,0
372,PAYMENT,1894.33,C1410821794,497756.0,495861.67,M1598674709,0.0,0.0,0,0
226,PAYMENT,15575.47,C1678224361,213118.91,197543.45,M1100252454,0.0,0.0,0,0
205,PAYMENT,15979.11,C1744947965,25068.07,9088.95,M2123605282,0.0,0.0,0,0
547,CASH_OUT,83753.46,C1252161864,0.0,0.0,C741115623,7381796.24,7465549.7,0,0
212,CASH_OUT,42183.58,C1114527571,0.0,0.0,C819347401,145373.1,187556.68,0,0
738,TRANSFER,114490.39,C983453370,114490.39,0.0,C1060799549,0.0,0.0,1,0
322,PAYMENT,49300.92,C1768510488,120734.07,71433.16,M45845996,0.0,0.0,0,0
355,PAYMENT,15479.42,C779732110,0.0,0.0,M1939550350,0.0,0.0,0,0
278,DEBIT,4146.12,C1603028431,8039.0,3892.88,C247885999,877169.61,881315.72,0,0
20,CASH_OUT,88721.08,C15105103,20858.0,0.0,C678152951,5183846.43,5132967.48,0,0
132,CASH_IN,84129.83,C1202340129,21576719.53,21660849.36,C1608181422,116153.76,32023.93,0,0
608,PAYMENT,8477.86,C935066317,31211.0,22733.14,M581397852,0.0,0.0,0,0
136,PAYMENT,15147.18,C633442178,278964.48,263817.3,M1619573707,0.0,0.0,0,0
543,CASH_OUT,74436.56,C1022475357,74436.56,0.0,C1086411656,201151.33,275587.89,1,0
298,PAYMENT,323.45,C1175145381,206985.83,206662.38,M175661425,0.0,0.0,0,0
526,TRANSFER,9596.8,C135864983,0.0,0.0,C1634888159,8470121.99,8479718.78,0,0
365,CASH_OUT,155799.82,C834601814,155799.82,0.0,C874278645,1605951.92,1761751.74,1,0
165,CASH_OUT,452719.44,C1166795740,0.0,0.0,C1794893473,3555076.46,4007795.9,0,0
303,TRANSFER,10000000.0,C997532070,25614246.07,15614246.07,C483833357,0.0,0.0,1,0
578,CASH_OUT,4961014.03,C1742941865,4961014.03,0.0,C1310890311,21847.95,4982861.98,1,0
164,CASH_IN,272364.06,C1297993382,59951.21,332315.28,C948768520,1268989.98,996625.92,0,0
210,CASH_IN,219669.48,C614236550,2953148.02,3172817.5,C758727620,1248459.27,1028789.79,0,0
661,PAYMENT,933.86,C1045423453,3078.0,2144.14,M1233709807,0.0,0.0,0,0
351,CASH_IN,232808.98,C2074561835,10669372.81,10902181.79,C315665048,1042002.41,809193.43,0,0
15,CASH_OUT,76125.07,C1239341060,0.0,0.0,C637309718,82405.08,128813.68,0,0
227,CASH_IN,172818.48,C1287636030,11536.0,184354.48,C645780800,5929.64,0.0,0,0
14,PAYMENT,13568.4,C376571855,97589.15,84020.75,M354532367,0.0,0.0,0,0
231,TRANSFER,2857909.86,C410489176,0.0,0.0,C2135710027,3889312.05,6521269.86,0,0
234,PAYMENT,10580.92,C1456127725,96255.0,85674.08,M596480548,0.0,0.0,0,0
